{0001,0001,0001,0001,0001,0001,0001,0001,0000,0000}
{0001,0001,0001,0001,0001,0001,0001,0001,0001,0001}
{0002,0002,0002,0002,0002,0002,0002,0002,0002,0002}
{0002,0002,0002,0002,0002,0002,0002,0002,0002,0002}
{0003,0003,0003,0003,0003,0003,0002,0002,0002,0002}
{0003,0003,0004,0004,0004,0004,0004,0004,0003,0003}
{0005,0005,0005,0006,0006,0006,0006,0005,0005,0005}
{0007,0007,0007,0006,0006,0006,0006,0005,0005,0005}
{0012,0011,0011,0010,0010,0009,0009,0008,0008,0008}
{0018,0017,0016,0016,0015,0014,0014,0013,0013,0012}
{0025,0024,0023,0023,0022,0021,0020,0019,0019,0018}
{0034,0033,0032,0031,0030,0029,0028,0027,0026,0026}
{0046,0045,0044,0042,0041,0040,0039,0037,0036,0035}
{0062,0060,0058,0057,0055,0053,0052,0050,0049,0048}
{0082,0079,0077,0075,0073,0071,0069,0067,0065,0063}
{0107,0104,0101,0099,0096,0093,0091,0088,0086,0084}
{0139,0135,0132,0128,0125,0122,0119,0116,0113,0110}
{0178,0174,0170,0165,0161,0157,0153,0150,0146,0142}
{0227,0222,0216,0211,0206,0201,0197,0192,0187,0183}
{0287,0280,0274,0268,0261,0255,0250,0244,0238,0233}
{0359,0351,0343,0336,0328,0321,0314,0307,0300,0293}
{0445,0436,0427,0418,0409,0400,0392,0383,0375,0367}
{0548,0537,0526,0515,0505,0494,0484,0474,0464,0455}
{0668,0655,0642,0630,0617,0605,0593,0582,0570,0559}
{0807,0792,0778,0763,0749,0735,0721,0707,0694,0681}
{0968,0951,0934,0917,0901,0885,0869,0853,0837,0822}
{1150,1131,1112,1093,1074,1056,1038,1020,1003,0985}
{1356,1335,1313,1292,1271,1250,1230,1210,1190,1170}
{1586,1562,1538,1515,1491,1468,1445,1423,1400,1378}
{1840,1814,1787,1761,1736,1711,1685,1660,1635,1610}
{2118,2089,2061,2033,2005,1977,1949,1922,1894,1867}
{2419,2388,2357,2327,2296,2266,2236,2206,2177,2147}
{2742,2709,2676,2643,2610,2578,2546,2514,2482,2451}
{3085,3050,3015,2980,2946,2911,2877,2843,2809,2776}
{3446,3409,3372,3336,3299,3263,3227,3191,3156,3121}
{3820,3783,3744,3707,3669,3631,3594,3557,3519,3482}
{4207,4168,4129,4090,4051,4012,3974,3936,3897,3859}
{4601,4562,4522,4483,4443,4404,4364,4325,4285,4246}
{5000,5040,5080,5120,5160,5199,5239,5279,5319,5359}
{5398,5438,5478,5517,5557,5596,5636,5675,5714,5753}
{5793,5831,5870,5909,5948,5987,6026,6064,6103,6140}
{6179,6217,6255,6293,6330,6368,6405,6443,6480,6517}
{6554,6591,6627,6664,6700,6736,6772,6808,6843,6879}
{6914,6949,6984,7019,7054,7088,7122,7156,7190,7224}
{7257,7290,7323,7356,7389,7421,7453,7485,7517,7549}
{7580,7611,7642,7673,7703,7733,7763,7793,7823,7852}
{7881,7910,7938,7967,7995,8023,8051,8078,8105,8132}
{8159,8185,8212,8238,8263,8289,8314,8339,8364,8389}
{8413,8437,8461,8484,8508,8531,8554,8576,8599,8621}
{8643,8665,8686,8707,8728,8749,8769,8790,8810,8829}
{8849,8868,8887,8906,8925,8943,8961,8979,8997,9014}
{9032,9049,9065,9082,9099,9114,9130,9146,9162,9177}
{9192,9207,9222,9236,9250,9264,9278,9292,9306,9318}
{9331,9344,9357,9369,9382,9394,9406,9417,9429,9440}
{9452,9463,9473,9484,9495,9505,9515,9525,9535,9544}
{9554,9563,9572,9581,9590,9599,9608,9616,9624,9632}
{9640,9648,9656,9663,9671,9678,9685,9692,9699,9706}
{9712,9719,9725,9732,9738,9744,9750,9755,9761,9767}
{9772,9778,9783,9788,9793,9798,9803,9807,9812,9816}
{9821,9825,9830,9834,9838,9842,9846,9850,9853,9857}
{9861,9864,9867,9871,9874,9877,9880,9884,9887,9889}
{9892,9895,9898,9901,9903,9906,9908,9911,9913,9915}
{9918,9920,9922,9924,9926,9928,9930,9932,9934,9936}
{9937,9939,9941,9943,9944,9946,9947,9949,9950,9952}
{9953,9954,9956,9957,9958,9959,9960,9962,9963,9964}
{9965,9966,9967,9968,9969,9970,9971,9972,9973,9974}
{9974,9975,9976,9977,9978,9978,9979,9980,9981,9981}
{9981,9982,9983,9983,9984,9984,9985,9985,9986,9986}
{9986,9987,9987,9988,9988,9989,9989,9990,9990,9990}
{9991,9992,9992,9992,9993,9993,9993,9993,9994,9994}
{9994,9994,9995,9995,9995,9995,9996,9996,9996,9996}
{9996,9996,9997,9997,9997,9997,9997,9997,9998,9998}
{9998,9998,9998,9998,9998,9998,9998,9999,9999,9999}
{9999,9999,9999,9999,9999,9999,9999,9999,9999,9999}